,PlayerName,PlayerMoves,PlayerStatus,PlayerSymbol,PlayerType,GameID
0,Amelia,"[1, 8, 4, 5, 9]",Win,O,Person,1
1,Haely,"[2, 3, 6, 7]",NoWin,X,Person,1
2,Winnie,"[5, 8, 6, 1, 2]",Win,X,Person,2
3,Amelia,"[4, 7, 3, 9]",NoWin,O,Person,2
4,Winnie,"[9, 1, 2, 3]",Win,O,Person,3
5,Haely,"[8, 7, 6]",NoWin,X,Person,3
6,Amelia,"[3, 8, 6, 4, 1]",Draw,X,Person,4
7,Haely,"[2, 5, 7, 9]",Draw,O,Person,4
8,kasu,"[1, 2, 5, 6, 7]",Draw,O,Bot,5
9,bot1,"[4, 3, 8, 9]",Draw,X,Bot,5
10,edj,"[4, 5, 7, 3]",Win,X,Bot,6
11,O,"[2, 1, 8]",NoWin,O,Bot,6
12,Haely,"[4, 7, 8, 3, 1]",Win,X,Person,7
13,Winnie,"[6, 5, 9, 2]",NoWin,O,Person,7
14,ghj,"[1, 5, 7, 4]",Win,X,Bot,8
15,hbjh,"[3, 6, 2]",NoWin,O,Bot,8
16,Amelia,"[1, 8, 2, 3]",Win,X,Bot,9
17,Winnie,"[9, 4, 7]",NoWin,O,Bot,9
18,Cece,"[9, 1, 3]",NoWin,X,Bot,10
19,Joe,"[6, 5, 4]",Win,O,Bot,10
20,Cece,"[4, 6, 3, 7, 5]",Win,O,Bot,11
21,Joe,"[2, 9, 1, 8]",NoWin,X,Bot,11
22,Haely,"[1, 7, 9, 5]",Win,X,Bot,12
23,Amelia,"[6, 2, 8]",NoWin,O,Bot,12
24,Winnie,"[3, 6, 4, 9]",Win,X,Bot,13
25,Haely,"[7, 2, 8]",NoWin,O,Bot,13
26,Winnie,"[5, 4, 9, 3, 7]",Win,O,Bot,14
27,Amelia,"[8, 1, 2, 6]",NoWin,X,Bot,14
28,dfgh',"[1, 8, 9]",NoWin,X,Bot,15
29,ghj,"[3, 5, 7]",Win,O,Bot,15
30,Haely,"[4, 6, 7]",NoWin,O,Bot,16
31,Amelia,"[5, 8, 2]",Win,X,Bot,16
32,Winnie,"[9, 8, 3, 6]",Win,O,Bot,17
33,Haely,"[2, 5, 7]",NoWin,X,Bot,17
34,healy,"[5, 9, 1]",Win,X,Bot,18
35,bot1,"[7, 3]",NoWin,O,Bot,18
36,Haely,"[7, 3, 6, 9]",Win,X,Bot,19
37,Winnie,"[4, 8, 5]",NoWin,O,Bot,19
38,Amelia,"[8, 1, 3, 9, 6]",Win,X,Bot,20
39,Winnie,"[2, 7, 5, 4]",NoWin,O,Bot,20
40,Kasu,"[1, 5, 2, 9]",Win,O,Bot,21
41,Bot1,"[4, 3, 6]",NoWin,X,Bot,21
42,Kasu,"[2, 5, 8]",Win,X,Bot,22
43,Ish,"[3, 7]",NoWin,O,Bot,22
44,bot1,"[5, 3, 1, 9]",Win,O,Bot,23
45,bot2,"[6, 8, 2]",NoWin,X,Bot,23
46,Kasu,"[2, 4, 7, 1]",Win,O,Bot,24
47,Bot1,"[6, 9, 8]",NoWin,X,Bot,24
48,Kasu,"[2, 4, 5]",NoWin,X,Bot,25
49,Ish,"[3, 6, 9]",Win,O,Bot,25
50,Bot1,"[1, 2, 8, 6]",NoWin,X,Bot,26
51,Bot2,"[5, 4, 7, 3]",Win,O,Bot,26
52,Kasu,"[2, 5, 8]",Win,X,Bot,27
53,Bot1,"[3, 1]",NoWin,O,Bot,27
54,Kasu,"[2, 4, 1]",NoWin,O,Bot,28
55,Lin,"[3, 6, 9]",Win,X,Bot,28
56,Bot1,"[1, 6, 9, 8, 5]",Win,X,Bot,29
57,Bot2,"[2, 4, 3, 7]",NoWin,O,Bot,29
58,hg,"[2, 9, 3, 4, 7]",Draw,X,Bot,30
59,iuy,"[6, 5, 8, 1]",Draw,O,Bot,30
60,k,"[4, 1, 6, 5]",Win,X,Bot,31
61,n,"[8, 2, 9]",NoWin,O,Bot,31
